09:20:43 Log file: logs/train_20250524_092043.log
09:21:15 ✔ Data split: 1958081/279725/559453 rows ➜ splits
09:21:17 train.csv: samples=1957961  class_dist=[609313 731512 617256]
09:21:18 val.csv: samples=279605  class_dist=[90467 94550 94708]
09:21:18 test.csv: samples=559333  class_dist=[183495 190446 185512]
09:21:24 [train] batch 200/7649 | loss 1.0290 | acc 0.3254
09:21:27 [train] batch 400/7649 | loss 1.0036 | acc 0.3203
09:21:30 [train] batch 600/7649 | loss 0.9952 | acc 0.3181
09:21:34 [train] batch 800/7649 | loss 0.9895 | acc 0.3183
09:21:37 [train] batch 1000/7649 | loss 0.9856 | acc 0.3183
09:21:40 [train] batch 1200/7649 | loss 0.9831 | acc 0.3185
09:21:44 [train] batch 1400/7649 | loss 0.9812 | acc 0.3188
09:21:47 [train] batch 1600/7649 | loss 0.9797 | acc 0.3188
09:21:50 [train] batch 1800/7649 | loss 0.9783 | acc 0.3192
09:21:53 [train] batch 2000/7649 | loss 0.9774 | acc 0.3191
09:21:57 [train] batch 2200/7649 | loss 0.9767 | acc 0.3189
09:22:00 [train] batch 2400/7649 | loss 0.9760 | acc 0.3188
09:22:03 [train] batch 2600/7649 | loss 0.9754 | acc 0.3188
09:22:07 [train] batch 2800/7649 | loss 0.9749 | acc 0.3189
09:22:10 [train] batch 3000/7649 | loss 0.9742 | acc 0.3191
09:22:14 [train] batch 3200/7649 | loss 0.9736 | acc 0.3194
09:22:17 [train] batch 3400/7649 | loss 0.9731 | acc 0.3196
09:22:20 [train] batch 3600/7649 | loss 0.9727 | acc 0.3198
09:22:24 [train] batch 3800/7649 | loss 0.9723 | acc 0.3199
09:22:27 [train] batch 4000/7649 | loss 0.9721 | acc 0.3198
09:22:31 [train] batch 4200/7649 | loss 0.9718 | acc 0.3198
09:22:34 [train] batch 4400/7649 | loss 0.9716 | acc 0.3199
09:22:37 [train] batch 4600/7649 | loss 0.9714 | acc 0.3201
09:22:41 [train] batch 4800/7649 | loss 0.9711 | acc 0.3201
09:22:44 [train] batch 5000/7649 | loss 0.9708 | acc 0.3203
09:22:47 [train] batch 5200/7649 | loss 0.9705 | acc 0.3203
09:22:51 [train] batch 5400/7649 | loss 0.9703 | acc 0.3205
09:22:54 [train] batch 5600/7649 | loss 0.9702 | acc 0.3205
09:22:58 [train] batch 5800/7649 | loss 0.9700 | acc 0.3206
09:23:01 [train] batch 6000/7649 | loss 0.9698 | acc 0.3207
09:23:04 [train] batch 6200/7649 | loss 0.9697 | acc 0.3208
09:23:08 [train] batch 6400/7649 | loss 0.9695 | acc 0.3209
09:23:11 [train] batch 6600/7649 | loss 0.9692 | acc 0.3211
09:23:15 [train] batch 6800/7649 | loss 0.9691 | acc 0.3211
09:23:18 [train] batch 7000/7649 | loss 0.9689 | acc 0.3212
09:23:21 [train] batch 7200/7649 | loss 0.9688 | acc 0.3211
09:23:25 [train] batch 7400/7649 | loss 0.9687 | acc 0.3212
09:23:28 [train] batch 7600/7649 | loss 0.9685 | acc 0.3214
09:23:29 [train] batch 7649/7649 | loss 0.9685 | acc 0.3214
09:23:36 ✔ saved validation confusion matrix → confusion_val/run_20250524_092120/epoch_01.png
09:23:36 Epoch 01 | train 0.9685/0.3214 | val 0.9436/0.3427 | lr 1.00e-05
09:23:36 ✓ save best
09:23:40 [train] batch 200/7649 | loss 0.9642 | acc 0.3228
09:23:43 [train] batch 400/7649 | loss 0.9638 | acc 0.3246
09:23:46 [train] batch 600/7649 | loss 0.9636 | acc 0.3251
09:23:50 [train] batch 800/7649 | loss 0.9632 | acc 0.3256
09:23:53 [train] batch 1000/7649 | loss 0.9631 | acc 0.3255
09:23:56 [train] batch 1200/7649 | loss 0.9632 | acc 0.3256
09:24:00 [train] batch 1400/7649 | loss 0.9633 | acc 0.3251
09:24:03 [train] batch 1600/7649 | loss 0.9633 | acc 0.3253
09:24:07 [train] batch 1800/7649 | loss 0.9637 | acc 0.3249
09:24:10 [train] batch 2000/7649 | loss 0.9637 | acc 0.3247
09:24:13 [train] batch 2200/7649 | loss 0.9637 | acc 0.3248
09:24:17 [train] batch 2400/7649 | loss 0.9637 | acc 0.3249
09:24:20 [train] batch 2600/7649 | loss 0.9637 | acc 0.3251
09:24:23 [train] batch 2800/7649 | loss 0.9636 | acc 0.3252
09:24:27 [train] batch 3000/7649 | loss 0.9636 | acc 0.3252
09:24:30 [train] batch 3200/7649 | loss 0.9636 | acc 0.3251
09:24:33 [train] batch 3400/7649 | loss 0.9635 | acc 0.3252
09:24:37 [train] batch 3600/7649 | loss 0.9636 | acc 0.3254
