20:29:34 Log file: logs/train_20250524_202934.log
20:30:06 ✔ Data split: 1958081/279725/559453 rows ➜ splits
20:30:08 train.csv: samples=1957961  class_dist=[ 242173 1465142  250766]
20:30:09 val.csv: samples=279605  class_dist=[ 29458 218014  32253]
20:30:09 test.csv: samples=559333  class_dist=[ 68225 420338  70890]
20:30:14 [train] batch 200/7649 | loss 1.0937 | acc 0.4930
20:30:18 [train] batch 400/7649 | loss 1.0845 | acc 0.4944
20:30:21 [train] batch 600/7649 | loss 1.0806 | acc 0.4957
20:30:24 [train] batch 800/7649 | loss 1.0775 | acc 0.4958
20:30:27 [train] batch 1000/7649 | loss 1.0756 | acc 0.4915
20:30:30 [train] batch 1200/7649 | loss 1.0741 | acc 0.4891
20:30:34 [train] batch 1400/7649 | loss 1.0730 | acc 0.4863
20:30:37 [train] batch 1600/7649 | loss 1.0715 | acc 0.4852
20:30:40 [train] batch 1800/7649 | loss 1.0705 | acc 0.4830
20:30:43 [train] batch 2000/7649 | loss 1.0697 | acc 0.4814
20:30:46 [train] batch 2200/7649 | loss 1.0690 | acc 0.4797
20:30:50 [train] batch 2400/7649 | loss 1.0684 | acc 0.4787
20:30:53 [train] batch 2600/7649 | loss 1.0678 | acc 0.4778
20:30:56 [train] batch 2800/7649 | loss 1.0673 | acc 0.4767
20:30:59 [train] batch 3000/7649 | loss 1.0668 | acc 0.4754
20:31:03 [train] batch 3200/7649 | loss 1.0664 | acc 0.4742
20:31:06 [train] batch 3400/7649 | loss 1.0660 | acc 0.4731
20:31:09 [train] batch 3600/7649 | loss 1.0658 | acc 0.4718
20:31:12 [train] batch 3800/7649 | loss 1.0654 | acc 0.4712
20:31:16 [train] batch 4000/7649 | loss 1.0650 | acc 0.4704
20:31:19 [train] batch 4200/7649 | loss 1.0647 | acc 0.4698
20:31:22 [train] batch 4400/7649 | loss 1.0643 | acc 0.4693
20:31:25 [train] batch 4600/7649 | loss 1.0641 | acc 0.4684
20:31:29 [train] batch 4800/7649 | loss 1.0639 | acc 0.4678
20:31:32 [train] batch 5000/7649 | loss 1.0636 | acc 0.4672
20:31:35 [train] batch 5200/7649 | loss 1.0634 | acc 0.4666
20:31:38 [train] batch 5400/7649 | loss 1.0631 | acc 0.4664
20:31:42 [train] batch 5600/7649 | loss 1.0629 | acc 0.4661
20:31:45 [train] batch 5800/7649 | loss 1.0628 | acc 0.4658
20:31:48 [train] batch 6000/7649 | loss 1.0627 | acc 0.4656
20:31:51 [train] batch 6200/7649 | loss 1.0625 | acc 0.4652
20:31:55 [train] batch 6400/7649 | loss 1.0623 | acc 0.4650
20:31:58 [train] batch 6600/7649 | loss 1.0622 | acc 0.4648
20:32:01 [train] batch 6800/7649 | loss 1.0620 | acc 0.4649
20:32:05 [train] batch 7000/7649 | loss 1.0619 | acc 0.4646
20:32:08 [train] batch 7200/7649 | loss 1.0618 | acc 0.4643
20:32:11 [train] batch 7400/7649 | loss 1.0616 | acc 0.4642
20:32:14 [train] batch 7600/7649 | loss 1.0616 | acc 0.4638
20:32:15 [train] batch 7649/7649 | loss 1.0615 | acc 0.4639
20:32:22 ✔ saved validation confusion matrix → confusion_val/run_20250524_203011/epoch_01.png
20:32:22 Epoch 01 | train 1.0615/0.4639 | val 1.0301/0.4476 | lr 1.00e-05
20:32:22 ✓ save best
20:32:25 [train] batch 200/7649 | loss 1.0592 | acc 0.4512
20:32:29 [train] batch 400/7649 | loss 1.0582 | acc 0.4543
20:32:32 [train] batch 600/7649 | loss 1.0584 | acc 0.4532
20:32:35 [train] batch 800/7649 | loss 1.0579 | acc 0.4530
20:32:38 [train] batch 1000/7649 | loss 1.0579 | acc 0.4536
20:32:42 [train] batch 1200/7649 | loss 1.0575 | acc 0.4558
20:32:45 [train] batch 1400/7649 | loss 1.0571 | acc 0.4574
20:32:48 [train] batch 1600/7649 | loss 1.0571 | acc 0.4586
20:32:51 [train] batch 1800/7649 | loss 1.0569 | acc 0.4592
20:32:55 [train] batch 2000/7649 | loss 1.0569 | acc 0.4594
20:32:58 [train] batch 2200/7649 | loss 1.0571 | acc 0.4594
20:33:01 [train] batch 2400/7649 | loss 1.0570 | acc 0.4602
20:33:05 [train] batch 2600/7649 | loss 1.0570 | acc 0.4608
20:33:08 [train] batch 2800/7649 | loss 1.0569 | acc 0.4616
20:33:11 [train] batch 3000/7649 | loss 1.0568 | acc 0.4619
20:33:15 [train] batch 3200/7649 | loss 1.0568 | acc 0.4617
20:33:18 [train] batch 3400/7649 | loss 1.0566 | acc 0.4620
20:33:21 [train] batch 3600/7649 | loss 1.0566 | acc 0.4621
20:33:25 [train] batch 3800/7649 | loss 1.0567 | acc 0.4617
20:33:28 [train] batch 4000/7649 | loss 1.0567 | acc 0.4616
20:33:31 [train] batch 4200/7649 | loss 1.0566 | acc 0.4616
20:33:34 [train] batch 4400/7649 | loss 1.0567 | acc 0.4615
20:33:38 [train] batch 4600/7649 | loss 1.0565 | acc 0.4618
20:33:41 [train] batch 4800/7649 | loss 1.0565 | acc 0.4620
20:33:44 [train] batch 5000/7649 | loss 1.0565 | acc 0.4619
20:33:47 [train] batch 5200/7649 | loss 1.0564 | acc 0.4620
20:33:51 [train] batch 5400/7649 | loss 1.0564 | acc 0.4621
20:33:54 [train] batch 5600/7649 | loss 1.0565 | acc 0.4622
20:33:57 [train] batch 5800/7649 | loss 1.0564 | acc 0.4626
20:34:00 [train] batch 6000/7649 | loss 1.0565 | acc 0.4626
20:34:04 [train] batch 6200/7649 | loss 1.0564 | acc 0.4629
20:34:07 [train] batch 6400/7649 | loss 1.0564 | acc 0.4627
20:34:10 [train] batch 6600/7649 | loss 1.0564 | acc 0.4627
20:34:14 [train] batch 6800/7649 | loss 1.0563 | acc 0.4627
20:34:17 [train] batch 7000/7649 | loss 1.0563 | acc 0.4628
20:34:20 [train] batch 7200/7649 | loss 1.0562 | acc 0.4632
20:34:23 [train] batch 7400/7649 | loss 1.0562 | acc 0.4633
20:34:27 [train] batch 7600/7649 | loss 1.0562 | acc 0.4636
20:34:28 [train] batch 7649/7649 | loss 1.0561 | acc 0.4636
20:34:34 ✔ saved validation confusion matrix → confusion_val/run_20250524_203011/epoch_02.png
20:34:34 Epoch 02 | train 1.0561/0.4636 | val 1.0304/0.4525 | lr 1.00e-05
20:34:34 ✓ save best
20:34:38 [train] batch 200/7649 | loss 1.0538 | acc 0.4741
20:34:41 [train] batch 400/7649 | loss 1.0551 | acc 0.4710
20:34:44 [train] batch 600/7649 | loss 1.0553 | acc 0.4707
20:34:47 [train] batch 800/7649 | loss 1.0554 | acc 0.4714
20:34:51 [train] batch 1000/7649 | loss 1.0557 | acc 0.4723
