20:05:46 Log file: logs/train_20250524_200546.log
20:06:18 ✔ Data split: 1958081/279725/559453 rows ➜ splits
20:06:21 train.csv: samples=1957961  class_dist=[ 242173 1465142  250766]
20:06:21 val.csv: samples=279605  class_dist=[ 29458 218014  32253]
20:06:22 test.csv: samples=559333  class_dist=[ 68225 420338  70890]
20:06:27 [train] batch 200/7649 | loss 1.0934 | acc 0.2704
20:06:30 [train] batch 400/7649 | loss 1.0803 | acc 0.2792
20:06:33 [train] batch 600/7649 | loss 1.0752 | acc 0.2998
20:06:36 [train] batch 800/7649 | loss 1.0713 | acc 0.3150
20:06:40 [train] batch 1000/7649 | loss 1.0684 | acc 0.3220
20:06:43 [train] batch 1200/7649 | loss 1.0665 | acc 0.3282
20:06:46 [train] batch 1400/7649 | loss 1.0650 | acc 0.3317
20:06:49 [train] batch 1600/7649 | loss 1.0635 | acc 0.3357
20:06:52 [train] batch 1800/7649 | loss 1.0622 | acc 0.3376
20:06:56 [train] batch 2000/7649 | loss 1.0613 | acc 0.3395
20:06:59 [train] batch 2200/7649 | loss 1.0606 | acc 0.3408
20:07:02 [train] batch 2400/7649 | loss 1.0599 | acc 0.3418
20:07:05 [train] batch 2600/7649 | loss 1.0593 | acc 0.3426
20:07:09 [train] batch 2800/7649 | loss 1.0587 | acc 0.3432
20:07:12 [train] batch 3000/7649 | loss 1.0580 | acc 0.3432
20:07:15 [train] batch 3200/7649 | loss 1.0575 | acc 0.3432
20:07:19 [train] batch 3400/7649 | loss 1.0571 | acc 0.3431
20:07:22 [train] batch 3600/7649 | loss 1.0568 | acc 0.3428
20:07:25 [train] batch 3800/7649 | loss 1.0563 | acc 0.3429
20:07:28 [train] batch 4000/7649 | loss 1.0559 | acc 0.3429
20:07:32 [train] batch 4200/7649 | loss 1.0555 | acc 0.3429
20:07:35 [train] batch 4400/7649 | loss 1.0551 | acc 0.3429
20:07:38 [train] batch 4600/7649 | loss 1.0549 | acc 0.3426
20:07:41 [train] batch 4800/7649 | loss 1.0546 | acc 0.3424
20:07:45 [train] batch 5000/7649 | loss 1.0542 | acc 0.3424
20:07:48 [train] batch 5200/7649 | loss 1.0541 | acc 0.3421
20:07:51 [train] batch 5400/7649 | loss 1.0538 | acc 0.3421
20:07:54 [train] batch 5600/7649 | loss 1.0536 | acc 0.3420
20:07:58 [train] batch 5800/7649 | loss 1.0534 | acc 0.3418
20:08:01 [train] batch 6000/7649 | loss 1.0533 | acc 0.3415
20:08:04 [train] batch 6200/7649 | loss 1.0531 | acc 0.3412
20:08:07 [train] batch 6400/7649 | loss 1.0529 | acc 0.3411
20:08:11 [train] batch 6600/7649 | loss 1.0527 | acc 0.3410
20:08:14 [train] batch 6800/7649 | loss 1.0525 | acc 0.3410
20:08:17 [train] batch 7000/7649 | loss 1.0524 | acc 0.3409
20:08:21 [train] batch 7200/7649 | loss 1.0522 | acc 0.3406
20:08:24 [train] batch 7400/7649 | loss 1.0521 | acc 0.3406
20:08:27 [train] batch 7600/7649 | loss 1.0520 | acc 0.3402
20:08:28 [train] batch 7649/7649 | loss 1.0520 | acc 0.3402
20:08:35 ✔ saved validation confusion matrix → confusion_val/run_20250524_200623/epoch_01.png
20:08:35 Epoch 01 | train 1.0520/0.3402 | val 1.0487/0.2935 | lr 1.00e-05
20:08:35 ✓ save best
20:08:38 [train] batch 200/7649 | loss 1.0480 | acc 0.3310
20:08:41 [train] batch 400/7649 | loss 1.0476 | acc 0.3317
20:08:45 [train] batch 600/7649 | loss 1.0474 | acc 0.3311
20:08:48 [train] batch 800/7649 | loss 1.0469 | acc 0.3313
20:08:51 [train] batch 1000/7649 | loss 1.0469 | acc 0.3310
20:08:54 [train] batch 1200/7649 | loss 1.0468 | acc 0.3321
20:08:58 [train] batch 1400/7649 | loss 1.0466 | acc 0.3333
20:09:01 [train] batch 1600/7649 | loss 1.0467 | acc 0.3336
