21:42:38 Log file: logs/train_20250524_214238.log
21:43:10 ✔ Data split: 1958081/279725/559453 rows ➜ splits
21:43:12 train.csv: samples=1957961  class_dist=[ 242173 1465142  250766]
21:43:13 val.csv: samples=279605  class_dist=[ 29458 218014  32253]
21:43:13 test.csv: samples=559333  class_dist=[ 68225 420338  70890]
21:43:18 [train] batch 200/7649 | loss 1.0962 | acc 0.3847
21:43:21 [train] batch 400/7649 | loss 1.0855 | acc 0.3968
21:43:25 [train] batch 600/7649 | loss 1.0813 | acc 0.4085
21:43:28 [train] batch 800/7649 | loss 1.0780 | acc 0.4156
21:43:31 [train] batch 1000/7649 | loss 1.0757 | acc 0.4162
21:43:34 [train] batch 1200/7649 | loss 1.0740 | acc 0.4171
21:43:37 [train] batch 1400/7649 | loss 1.0728 | acc 0.4170
21:43:41 [train] batch 1600/7649 | loss 1.0714 | acc 0.4177
21:43:44 [train] batch 1800/7649 | loss 1.0703 | acc 0.4169
21:43:47 [train] batch 2000/7649 | loss 1.0694 | acc 0.4166
21:43:50 [train] batch 2200/7649 | loss 1.0687 | acc 0.4160
21:43:54 [train] batch 2400/7649 | loss 1.0681 | acc 0.4155
21:43:57 [train] batch 2600/7649 | loss 1.0675 | acc 0.4151
21:44:00 [train] batch 2800/7649 | loss 1.0670 | acc 0.4145
21:44:03 [train] batch 3000/7649 | loss 1.0664 | acc 0.4135
21:44:07 [train] batch 3200/7649 | loss 1.0659 | acc 0.4126
21:44:10 [train] batch 3400/7649 | loss 1.0655 | acc 0.4118
21:44:13 [train] batch 3600/7649 | loss 1.0653 | acc 0.4108
21:44:16 [train] batch 3800/7649 | loss 1.0648 | acc 0.4103
21:44:20 [train] batch 4000/7649 | loss 1.0644 | acc 0.4097
21:44:23 [train] batch 4200/7649 | loss 1.0641 | acc 0.4092
21:44:26 [train] batch 4400/7649 | loss 1.0637 | acc 0.4088
21:44:29 [train] batch 4600/7649 | loss 1.0635 | acc 0.4080
21:44:33 [train] batch 4800/7649 | loss 1.0633 | acc 0.4074
21:44:36 [train] batch 5000/7649 | loss 1.0629 | acc 0.4069
21:44:39 [train] batch 5200/7649 | loss 1.0628 | acc 0.4063
21:44:42 [train] batch 5400/7649 | loss 1.0624 | acc 0.4060
21:44:46 [train] batch 5600/7649 | loss 1.0623 | acc 0.4057
21:44:49 [train] batch 5800/7649 | loss 1.0621 | acc 0.4052
21:44:52 [train] batch 6000/7649 | loss 1.0620 | acc 0.4049
21:44:55 [train] batch 6200/7649 | loss 1.0618 | acc 0.4045
21:44:59 [train] batch 6400/7649 | loss 1.0616 | acc 0.4042
21:45:02 [train] batch 6600/7649 | loss 1.0615 | acc 0.4040
21:45:05 [train] batch 6800/7649 | loss 1.0613 | acc 0.4039
21:45:08 [train] batch 7000/7649 | loss 1.0612 | acc 0.4036
21:45:12 [train] batch 7200/7649 | loss 1.0610 | acc 0.4032
21:45:15 [train] batch 7400/7649 | loss 1.0609 | acc 0.4031
21:45:18 [train] batch 7600/7649 | loss 1.0608 | acc 0.4027
21:45:19 [train] batch 7649/7649 | loss 1.0608 | acc 0.4027
21:45:25 ✔ saved validation confusion matrix → confusion_val/run_20250524_214315/epoch_01.png
