23:37:47 Log file: logs/train_20250523_233747.log
23:38:19 ✔ Data split: 1958081/279725/559453 rows ➜ splits
23:38:22 train.csv: samples=1957961  class_dist=[609313 731512 617256]
23:38:22 val.csv: samples=279605  class_dist=[90467 94550 94708]
23:38:23 test.csv: samples=559333  class_dist=[183495 190446 185512]
23:38:28 [train] batch 200/7649 | loss 1.1037 | acc 0.3543
23:38:31 [train] batch 400/7649 | loss 1.1028 | acc 0.3547
23:38:35 [train] batch 600/7649 | loss 1.1023 | acc 0.3556
23:38:38 [train] batch 800/7649 | loss 1.1016 | acc 0.3565
23:38:41 [train] batch 1000/7649 | loss 1.1011 | acc 0.3569
23:38:44 [train] batch 1200/7649 | loss 1.1006 | acc 0.3582
23:38:48 [train] batch 1400/7649 | loss 1.1002 | acc 0.3586
23:38:51 [train] batch 1600/7649 | loss 1.0999 | acc 0.3586
23:38:54 [train] batch 1800/7649 | loss 1.0996 | acc 0.3588
23:38:58 [train] batch 2000/7649 | loss 1.0993 | acc 0.3591
23:39:01 [train] batch 2200/7649 | loss 1.0991 | acc 0.3594
23:39:04 [train] batch 2400/7649 | loss 1.0989 | acc 0.3597
23:39:07 [train] batch 2600/7649 | loss 1.0987 | acc 0.3601
23:39:11 [train] batch 2800/7649 | loss 1.0985 | acc 0.3604
23:39:14 [train] batch 3000/7649 | loss 1.0984 | acc 0.3604
23:39:17 [train] batch 3200/7649 | loss 1.0982 | acc 0.3606
23:39:21 [train] batch 3400/7649 | loss 1.0980 | acc 0.3607
23:39:24 [train] batch 3600/7649 | loss 1.0978 | acc 0.3610
23:39:27 [train] batch 3800/7649 | loss 1.0977 | acc 0.3613
23:39:30 [train] batch 4000/7649 | loss 1.0975 | acc 0.3619
23:39:34 [train] batch 4200/7649 | loss 1.0973 | acc 0.3621
23:39:37 [train] batch 4400/7649 | loss 1.0972 | acc 0.3624
23:39:40 [train] batch 4600/7649 | loss 1.0971 | acc 0.3624
23:39:43 [train] batch 4800/7649 | loss 1.0970 | acc 0.3626
23:39:46 [train] batch 5000/7649 | loss 1.0969 | acc 0.3627
23:39:50 [train] batch 5200/7649 | loss 1.0968 | acc 0.3626
23:39:53 [train] batch 5400/7649 | loss 1.0967 | acc 0.3629
23:39:56 [train] batch 5600/7649 | loss 1.0966 | acc 0.3632
23:40:00 [train] batch 5800/7649 | loss 1.0965 | acc 0.3634
23:40:03 [train] batch 6000/7649 | loss 1.0965 | acc 0.3635
23:40:06 [train] batch 6200/7649 | loss 1.0964 | acc 0.3637
23:40:09 [train] batch 6400/7649 | loss 1.0963 | acc 0.3638
23:40:13 [train] batch 6600/7649 | loss 1.0962 | acc 0.3639
23:40:16 [train] batch 6800/7649 | loss 1.0961 | acc 0.3641
23:40:19 [train] batch 7000/7649 | loss 1.0960 | acc 0.3644
23:40:22 [train] batch 7200/7649 | loss 1.0960 | acc 0.3646
23:40:26 [train] batch 7400/7649 | loss 1.0959 | acc 0.3648
23:40:29 [train] batch 7600/7649 | loss 1.0958 | acc 0.3650
23:40:30 [train] batch 7649/7649 | loss 1.0958 | acc 0.3651
23:40:36 ✔ saved validation confusion matrix → confusion_val/run_20250523_233825/epoch_01.png
23:40:36 Epoch 01 | train 1.0958/0.3651 | val 1.0947/0.3644 | lr 1.00e-05
23:40:36 ✓ save best
23:40:40 [train] batch 200/7649 | loss 1.0935 | acc 0.3702
23:40:43 [train] batch 400/7649 | loss 1.0935 | acc 0.3693
23:40:46 [train] batch 600/7649 | loss 1.0934 | acc 0.3683
23:40:50 [train] batch 800/7649 | loss 1.0935 | acc 0.3681
23:40:53 [train] batch 1000/7649 | loss 1.0933 | acc 0.3683
23:40:56 [train] batch 1200/7649 | loss 1.0932 | acc 0.3690
23:41:00 [train] batch 1400/7649 | loss 1.0933 | acc 0.3695
23:41:03 [train] batch 1600/7649 | loss 1.0932 | acc 0.3700
23:41:06 [train] batch 1800/7649 | loss 1.0932 | acc 0.3704
23:41:10 [train] batch 2000/7649 | loss 1.0932 | acc 0.3705
23:41:13 [train] batch 2200/7649 | loss 1.0933 | acc 0.3704
23:41:16 [train] batch 2400/7649 | loss 1.0932 | acc 0.3709
23:41:20 [train] batch 2600/7649 | loss 1.0931 | acc 0.3710
23:41:23 [train] batch 2800/7649 | loss 1.0931 | acc 0.3710
23:41:27 [train] batch 3000/7649 | loss 1.0931 | acc 0.3708
23:41:30 [train] batch 3200/7649 | loss 1.0931 | acc 0.3709
23:41:33 [train] batch 3400/7649 | loss 1.0931 | acc 0.3708
23:41:37 [train] batch 3600/7649 | loss 1.0931 | acc 0.3709
23:41:40 [train] batch 3800/7649 | loss 1.0931 | acc 0.3710
23:41:43 [train] batch 4000/7649 | loss 1.0930 | acc 0.3710
23:41:47 [train] batch 4200/7649 | loss 1.0930 | acc 0.3710
23:41:50 [train] batch 4400/7649 | loss 1.0930 | acc 0.3710
23:41:53 [train] batch 4600/7649 | loss 1.0930 | acc 0.3710
23:41:57 [train] batch 4800/7649 | loss 1.0930 | acc 0.3712
23:42:00 [train] batch 5000/7649 | loss 1.0929 | acc 0.3714
23:42:03 [train] batch 5200/7649 | loss 1.0929 | acc 0.3715
23:42:07 [train] batch 5400/7649 | loss 1.0929 | acc 0.3715
23:42:10 [train] batch 5600/7649 | loss 1.0929 | acc 0.3716
23:42:13 [train] batch 5800/7649 | loss 1.0928 | acc 0.3717
23:42:17 [train] batch 6000/7649 | loss 1.0928 | acc 0.3717
23:42:20 [train] batch 6200/7649 | loss 1.0928 | acc 0.3718
23:42:24 [train] batch 6400/7649 | loss 1.0927 | acc 0.3720
23:42:27 [train] batch 6600/7649 | loss 1.0927 | acc 0.3720
23:42:30 [train] batch 6800/7649 | loss 1.0927 | acc 0.3721
23:42:34 [train] batch 7000/7649 | loss 1.0926 | acc 0.3722
23:42:37 [train] batch 7200/7649 | loss 1.0926 | acc 0.3723
23:42:41 [train] batch 7400/7649 | loss 1.0926 | acc 0.3723
23:42:44 [train] batch 7600/7649 | loss 1.0926 | acc 0.3723
23:42:45 [train] batch 7649/7649 | loss 1.0926 | acc 0.3723
23:42:51 ✔ saved validation confusion matrix → confusion_val/run_20250523_233825/epoch_02.png
23:42:51 Epoch 02 | train 1.0926/0.3723 | val 1.0945/0.3650 | lr 1.00e-05
23:42:51 ✓ save best
23:42:55 [train] batch 200/7649 | loss 1.0928 | acc 0.3718
23:42:58 [train] batch 400/7649 | loss 1.0923 | acc 0.3760
23:43:02 [train] batch 600/7649 | loss 1.0923 | acc 0.3758
23:43:05 [train] batch 800/7649 | loss 1.0922 | acc 0.3759
23:43:08 [train] batch 1000/7649 | loss 1.0922 | acc 0.3759
23:43:12 [train] batch 1200/7649 | loss 1.0922 | acc 0.3760
23:43:15 [train] batch 1400/7649 | loss 1.0922 | acc 0.3757
