15:07:20 Log file: logs/train_20250524_150720.log
15:07:52 ✔ Data split: 1958081/279725/559453 rows ➜ splits
15:07:54 train.csv: samples=1957961  class_dist=[609313 731512 617256]
15:07:55 val.csv: samples=279605  class_dist=[90467 94550 94708]
15:07:56 test.csv: samples=559333  class_dist=[183495 190446 185512]
15:08:01 [train] batch 200/7649 | loss 1.0480 | acc 0.3262
15:08:04 [train] batch 400/7649 | loss 1.0314 | acc 0.3208
15:08:07 [train] batch 600/7649 | loss 1.0263 | acc 0.3184
15:08:10 [train] batch 800/7649 | loss 1.0223 | acc 0.3185
15:08:13 [train] batch 1000/7649 | loss 1.0195 | acc 0.3185
15:08:17 [train] batch 1200/7649 | loss 1.0177 | acc 0.3187
15:08:20 [train] batch 1400/7649 | loss 1.0163 | acc 0.3190
15:08:23 [train] batch 1600/7649 | loss 1.0151 | acc 0.3190
15:08:26 [train] batch 1800/7649 | loss 1.0140 | acc 0.3194
15:08:30 [train] batch 2000/7649 | loss 1.0134 | acc 0.3194
15:08:33 [train] batch 2200/7649 | loss 1.0129 | acc 0.3192
15:08:36 [train] batch 2400/7649 | loss 1.0124 | acc 0.3191
15:08:39 [train] batch 2600/7649 | loss 1.0119 | acc 0.3191
15:08:43 [train] batch 2800/7649 | loss 1.0115 | acc 0.3192
15:08:46 [train] batch 3000/7649 | loss 1.0110 | acc 0.3194
15:08:49 [train] batch 3200/7649 | loss 1.0105 | acc 0.3197
15:08:53 [train] batch 3400/7649 | loss 1.0100 | acc 0.3199
15:08:56 [train] batch 3600/7649 | loss 1.0097 | acc 0.3201
15:08:59 [train] batch 3800/7649 | loss 1.0094 | acc 0.3201
15:09:02 [train] batch 4000/7649 | loss 1.0092 | acc 0.3201
15:09:06 [train] batch 4200/7649 | loss 1.0090 | acc 0.3201
15:09:09 [train] batch 4400/7649 | loss 1.0089 | acc 0.3202
15:09:12 [train] batch 4600/7649 | loss 1.0086 | acc 0.3203
15:09:15 [train] batch 4800/7649 | loss 1.0085 | acc 0.3203
15:09:19 [train] batch 5000/7649 | loss 1.0082 | acc 0.3205
15:09:22 [train] batch 5200/7649 | loss 1.0079 | acc 0.3205
15:09:25 [train] batch 5400/7649 | loss 1.0078 | acc 0.3207
15:09:28 [train] batch 5600/7649 | loss 1.0076 | acc 0.3208
15:09:32 [train] batch 5800/7649 | loss 1.0075 | acc 0.3209
15:09:35 [train] batch 6000/7649 | loss 1.0074 | acc 0.3210
15:09:38 [train] batch 6200/7649 | loss 1.0072 | acc 0.3210
15:09:42 [train] batch 6400/7649 | loss 1.0071 | acc 0.3211
15:09:45 [train] batch 6600/7649 | loss 1.0068 | acc 0.3213
15:09:48 [train] batch 6800/7649 | loss 1.0067 | acc 0.3213
15:09:51 [train] batch 7000/7649 | loss 1.0066 | acc 0.3214
15:09:55 [train] batch 7200/7649 | loss 1.0065 | acc 0.3213
15:09:58 [train] batch 7400/7649 | loss 1.0064 | acc 0.3214
15:10:01 [train] batch 7600/7649 | loss 1.0063 | acc 0.3216
15:10:02 [train] batch 7649/7649 | loss 1.0062 | acc 0.3216
15:10:09 ✔ saved validation confusion matrix → confusion_val/run_20250524_150757/epoch_01.png
15:10:09 Epoch 01 | train 1.0062/0.3216 | val 0.9827/0.3428 | lr 1.00e-05
15:10:09 ✓ save best
15:10:12 [train] batch 200/7649 | loss 1.0026 | acc 0.3230
15:10:16 [train] batch 400/7649 | loss 1.0022 | acc 0.3247
15:10:19 [train] batch 600/7649 | loss 1.0020 | acc 0.3256
15:10:22 [train] batch 800/7649 | loss 1.0016 | acc 0.3260
15:10:25 [train] batch 1000/7649 | loss 1.0016 | acc 0.3260
15:10:29 [train] batch 1200/7649 | loss 1.0016 | acc 0.3262
15:10:32 [train] batch 1400/7649 | loss 1.0017 | acc 0.3257
15:10:35 [train] batch 1600/7649 | loss 1.0017 | acc 0.3259
15:10:39 [train] batch 1800/7649 | loss 1.0021 | acc 0.3255
15:10:42 [train] batch 2000/7649 | loss 1.0022 | acc 0.3253
15:10:45 [train] batch 2200/7649 | loss 1.0021 | acc 0.3253
15:10:48 [train] batch 2400/7649 | loss 1.0021 | acc 0.3255
15:10:52 [train] batch 2600/7649 | loss 1.0021 | acc 0.3256
15:10:55 [train] batch 2800/7649 | loss 1.0020 | acc 0.3256
15:10:59 [train] batch 3000/7649 | loss 1.0021 | acc 0.3256
15:11:02 [train] batch 3200/7649 | loss 1.0021 | acc 0.3255
15:11:05 [train] batch 3400/7649 | loss 1.0020 | acc 0.3257
15:11:08 [train] batch 3600/7649 | loss 1.0020 | acc 0.3258
15:11:12 [train] batch 3800/7649 | loss 1.0021 | acc 0.3258
15:11:15 [train] batch 4000/7649 | loss 1.0020 | acc 0.3259
15:11:18 [train] batch 4200/7649 | loss 1.0020 | acc 0.3260
15:11:21 [train] batch 4400/7649 | loss 1.0019 | acc 0.3261
15:11:25 [train] batch 4600/7649 | loss 1.0019 | acc 0.3262
15:11:28 [train] batch 4800/7649 | loss 1.0019 | acc 0.3262
15:11:31 [train] batch 5000/7649 | loss 1.0018 | acc 0.3264
15:11:35 [train] batch 5200/7649 | loss 1.0019 | acc 0.3264
15:11:38 [train] batch 5400/7649 | loss 1.0019 | acc 0.3263
15:11:41 [train] batch 5600/7649 | loss 1.0019 | acc 0.3263
15:11:44 [train] batch 5800/7649 | loss 1.0018 | acc 0.3264
15:11:48 [train] batch 6000/7649 | loss 1.0018 | acc 0.3265
15:11:51 [train] batch 6200/7649 | loss 1.0018 | acc 0.3264
15:11:54 [train] batch 6400/7649 | loss 1.0018 | acc 0.3265
15:11:58 [train] batch 6600/7649 | loss 1.0017 | acc 0.3266
15:12:01 [train] batch 6800/7649 | loss 1.0017 | acc 0.3267
15:12:04 [train] batch 7000/7649 | loss 1.0016 | acc 0.3268
